Semester,Gender,Quiz,Attendance,Presentation,Assignment,Mid,Final,TotalMark,SGPA
2,1,12.0,4.47,5.1,3.19,11.5,27.539,63.8,3.19
2,1,5.0,3.54,4.05,2.53,8.5,26.98,50.6,2.53
6,0,4.0,4.45,5.09,3.18,12.0,34.88,63.6,3.18
7,1,13.0,5.21,5.95,3.72,24.0,22.520,74.4,3.72
2,1,12.0,5.07,5.79,3.62,21.5,24.42,72.4,3.62
2,1,13.0,4.82,5.5,3.44,22.0,20.03999,68.8,3.44
2,1,11.0,3.98,4.54,2.84,20.0,14.44,56.8,2.84
7,1,13.0,5.11,5.84,3.65,19.5,25.9000,73.0,3.65
2,1,9.0,4.02,4.59,2.87,8.5,28.42,57.4,2.87
2,1,12.0,4.48,5.12,3.2,16.0,23.2,64.0,3.2
3,0,12.0,4.07,4.66,2.91,17.0,17.56,58.2,2.91
3,0,10.0,4.13,4.72,2.95,13.0,24.2,59.0,2.95
6,0,15.0,4.69,5.36,3.35,15.0,23.59,67.0,3.35
1,1,12.0,4.79,5.47,3.42,17.0,25.7200,68.4,3.42
5,0,3.0,2.37,2.7,1.69,3.0,21.04,33.8,1.69
10,1,14.0,5.01,5.73,3.58,21.0,22.2799,71.6,3.58
11,1,8.0,4.33,4.94,3.09,13.5,27.94,61.8,3.09
12,1,15.0,4.66,5.33,3.33,17.0,21.2799,66.6,3.33
4,0,14.0,4.83,5.52,3.45,14.5,26.7,69.0,3.45
4,0,12.0,4.42,5.06,3.16,19.0,19.56,63.2,3.16
2,1,7.0,5.19,5.94,3.71,18.0,34.36,74.2,3.71
2,1,5.0,4.68,5.34,3.34,22.0,26.44,66.8,3.34
6,0,14.0,5.4,6.18,3.86,18.5,29.26001,77.2,3.86
12,1,13.0,4.2,4.8,3.0,10.5,24.5,60.0,3.0
8,1,9.0,4.82,5.5,3.44,11.5,34.5399,68.8,3.44
12,1,11.0,4.77,5.46,3.41,17.0,26.56,68.2,3.41
6,0,11.0,5.33,6.1,3.81,16.5,33.46001,76.2,3.81
2,1,9.0,4.2,4.8,3.0,14.5,24.5,60.0,3.0
6,0,8.0,3.07,3.5,2.19,10.0,17.04,43.8,2.19
5,0,14.0,4.75,5.42,3.39,23.5,16.79,67.8,3.39
2,1,11.0,2.93,3.34,2.09,8.5,13.94,41.8,2.09
12,1,9.0,4.7,5.38,3.36,21.5,23.2,67.2,3.36
8,1,9.0,4.47,5.1,3.19,14.5,27.539,63.8,3.19
3,0,7.0,3.5,4.0,2.5,9.0,24.0,50.0,2.5
5,0,7.0,2.93,3.34,2.09,9.0,17.44,41.8,2.09
10,1,11.0,4.13,4.72,2.95,12.0,24.2,59.0,2.95
7,0,11.0,3.93,4.5,2.81,6.0,27.96,56.2,2.81
5,0,13.0,5.15,5.89,3.68,21.5,24.38,73.6,3.68
5,0,10.0,2.8,3.2,2.0,3.0,19.0,40.0,2.0
12,1,11.0,4.55,5.2,3.25,14.0,27.0,65.0,3.25
6,0,9.0,3.47,3.97,2.48,12.0,18.68,49.6,2.48
6,0,10.0,3.58,4.1,2.56,7.0,23.96,51.2,2.56
4,0,10.0,3.51,4.02,2.51,11.0,19.16,50.2,2.51
